,cites,beds
0,Andaman Islands,0.0
1,Nicobar Islands,0.0
2,Anantapur,0.0
3,Chittoor,0.0
4,Cuddapah,0.0
5,East Godavari,0.0
6,Guntur,0.0
7,Krishna,0.0
8,Kurnool,0.0
9,Nellore,0.0
10,Prakasam,0.0
11,Srikakulam,0.0
12,Vishakhapatnam,0.0
13,Vizianagaram,0.0
14,West Godavari,0.0
15,Changlang,0.0
16,East Kameng,0.0
17,East Siang,0.0
18,Kurung Kumey,0.0
19,Lohit,0.0
20,Lower Dibang Valley,0.0
21,Lower Subansiri,0.0
22,Papum Pare,0.0
23,Tawang,0.0
24,Tirap,0.0
25,Upper Dibang Valley,0.0
26,Upper Siang,0.0
27,Upper Subansiri,0.0
28,West Kameng,0.0
29,West Siang,0.0
30,Barpeta,0.0
31,Bongaigaon,0.0
32,Cachar,0.0
33,Darrang,0.0
34,Dhemaji,0.0
35,Dhuburi,0.0
36,Dibrugarh,0.0
37,Goalpara,0.0
38,Golaghat,0.0
39,Hailakandi,0.0
40,Jorhat,0.0
41,Kamrup,0.0
42,Karbi Anglong,0.0
43,Karimganj,0.0
44,Kokrajhar,0.0
45,Lakhimpur,0.0
46,Marigaon,0.0
47,Nagaon,0.0
48,Nalbari,0.0
49,North Cachar Hills,0.0
50,Sibsagar,0.0
51,Sonitpur,0.0
52,Tinsukia,0.0
53,Araria,0.0
54,Aurangabad,0.0
55,Banka,0.0
56,Begusarai,0.0
57,Bhabua,0.0
58,Bhagalpur,0.0
59,Bhojpur,0.0
60,Buxar,0.0
61,Darbhanga,0.0
62,Gaya,0.0
63,Gopalganj,0.0
64,Jamui,0.0
65,Jehanabad,0.0
66,Katihar,0.0
67,Khagaria,0.0
68,Kishanganj,0.0
69,Lakhisarai,0.0
70,Madhepura,0.0
71,Madhubani,0.0
72,Munger,0.0
73,Muzaffarpur,0.0
74,Nalanda,0.0
75,Nawada,0.0
76,Pashchim Champaran,0.0
77,Patna,0.0
78,Purba Champaran,0.0
79,Purnia,0.0
80,Rohtas,0.0
81,Saharsa,0.0
82,Samastipur,0.0
83,Saran,0.0
84,Sheikhpura,0.0
85,Sheohar,0.0
86,Sitamarhi,0.0
87,Siwan,0.0
88,Supaul,0.0
89,Vaishali,0.0
90,Chandigarh,0.0
91,Bastar,0.0
92,Bilaspur,0.0
93,Dantewada,0.0
94,Dhamtari,0.0
95,Durg,0.0
96,Janjgir-Champa,0.0
97,Jashpur,0.0
98,Kanker,0.0
99,Kawardha,0.0
100,Korba,0.0
101,Koriya,0.0
102,Mahasamund,0.0
103,Raigarh,0.0
104,Raipur,0.0
105,Raj Nandgaon,0.0
106,Surguja,0.0
107,Dadra and Nagar Haveli,0.0
108,Daman,0.0
109,Junagadh,0.0
110,Delhi,0.0
111,North Goa,0.0
112,South Goa,0.0
113,Ahmadabad,0.0
114,Amreli,0.0
115,Anand,0.0
116,Banas Kantha,0.0
117,Bharuch,0.0
118,Bhavnagar,0.0
119,Dahod,0.0
120,Gandhinagar,0.0
121,Jamnagar,0.0
122,Junagadh,0.0
123,Kachchh,0.0
124,Kheda,0.0
125,Mahesana,0.0
126,Narmada,0.0
127,Navsari,0.0
128,Panch Mahals,0.0
129,Patan,0.0
130,Porbandar,0.0
131,Rajkot,0.0
132,Sabar Kantha,0.0
133,Surat,0.0
134,Surendranagar,0.0
135,The Dangs,0.0
136,Vadodara,0.0
137,Valsad,0.0
138,Ambala,0.0
139,Bhiwani,0.0
140,Faridabad,0.0
141,Fatehabad,0.0
142,Gurgaon,0.0
143,Hisar,0.0
144,Jhajjar,0.0
145,Jind,0.0
146,Kaithal,0.0
147,Karnal,0.0
148,Kurukshetra,0.0
149,Mahendragarh,0.0
150,Panchkula,0.0
151,Panipat,0.0
152,Rewari,0.0
153,Rohtak,0.0
154,Sirsa,0.0
155,Sonepat,0.0
156,Yamuna Nagar,0.0
157,Bilaspur,0.0
158,Chamba,0.0
159,Hamirpur,0.0
160,Kangra,0.0
161,Kinnaur,0.0
162,Kullu,0.0
163,Lahul and Spiti,0.0
164,Mandi,0.0
165,Shimla,0.0
166,Sirmaur,0.0
167,Solan,0.0
168,Una,0.0
169,Anantnag (Kashmir South),0.0
170,Bagdam,0.0
171,Baramula (Kashmir North),0.0
172,Doda,0.0
173,Jammu,0.0
174,Kargil,0.0
175,Kathua,0.0
176,Kupwara (Muzaffarabad),0.0
177,Ladakh (Leh),0.0
178,Pulwama,0.0
179,Punch,0.0
180,Rajauri,0.0
181,Srinagar,0.0
182,Udhampur,0.0
183,Bokaro,0.0
184,Chatra,0.0
185,Deoghar,0.0
186,Dhanbad,0.0
187,Dumka,0.0
188,Garhwa,0.0
189,Giridih,0.0
190,Godda,0.0
191,Gumla,0.0
192,Hazaribag,0.0
193,Jamtara,0.0
194,Koderma,0.0
195,Latehar,0.0
196,Lohardaga,0.0
197,Pakur,0.0
198,Palamu,0.0
199,Pashchim Singhbhum,0.0
200,Purba Singhbhum,0.0
201,Ranchi,0.0
202,Sahibganj,0.0
203,Saraikela Kharsawan,0.0
204,Simdega,0.0
205,Bagalkot,0.0
206,Bangalore Rural,0.0
