hospital_name,location
"Abbasi Shaheed Hospital, Karachi","24.920089, 67.029652"
"Aga Khan University Hospital, Karachi","24.891986, 67.074651"
"Akhtar Saeed Trust Teaching Hospital, Lahore","31.444284, 74.212457"
"Allied Hospital, Faisalabad","31.448964, 73.080998"
"Arif Memorial hospital, Lahore","31.273909, 74.403991"
"Ayub Teaching Hospital, Abbotabad","34.204017, 73.236408"
"Aziz Bhatti Shaheed Teaching Hospital, Gujrat","32.598927, 74.079716"
"Aziz Fatima Medical College & Hospital, Faisalabad","31.455366, 73.158894"
"Bahawal Victoria Hospital, Bahawalpur","29.388896, 71.680805"
"Bahria International Hospital, Lahore","31.387813, 74.187647"
"Benazir Bhutto Hospital (RGH), Rawalpindi","33.627518, 73.071575"
"Bhatti international teaching hospital, Kasur","31.138196, 74.431505"
"Bolan Medical Complex, Quetta","30.191024, 66.973885"
"Bukhtawar Amin Trust Hospital, Multan","30.242188, 71.555682"
Central Park Teaching Hospital. Lahore,"31.327977, 74.378540"
"Chiniot General Hospital, Karachi","24.823665, 67.143306"
"Civil Hospital, Bahawalpur","29.412279, 71.720007"
"Civil Hospital, Karachi","24.858956, 67.010055"
"Creek General Hospital, Karachi","24.814996, 67.132290"
"DHQ Hospital, Dera Ghazi Khan","30.051175, 70.638728"
"DHQ Hospital, Gujranwala","32.169540, 74.191434"
"DHQ Hospital, Kohat","33.613468, 71.471700"
"DHQ Hospital, Layyah","30.971174, 70.956643"
"DHQ Hospital, Rawalpindi","33.612903, 73.053795"
"DHQ Hospital, Sahiwal","30.684022, 73.102766"
"DHQ Teaching Hospital, Sargodha","32.080292, 72.664462"
"Darul Sehat Hospital, Karachi","24.914318, 67.127188"
"Doctor's Hospital & Medical Centre, Lahore","31.479559, 74.280348"
"Dow International Medical College Hospital, Karachi,","24.946466, 67.140522"
"Faisalabad Institute of Cardiology, Faisalabad","31.423084, 73.086563"
"Farooq Teaching Hospital, Lahore","31.323716, 72.736152"
"Fatima Jinnah Hospital, Quetta","30.192699, 66.953843"
"Fatima Memorial Hospital, Lahore","31.535671, 74.328108"
"Fauji Foundation Hospital, Lahore","31.499680, 74.394769"
"Fauji Foundation Hospital, Rawalpindi","33.556567, 73.094077"
"Fazale Omar Hospital, Rabwah","31.759121, 72.916818"
"Federal Government PolyClinic, Islamabad","33.721162, 73.082744"
"Ghulam Mohammad Mehar Teaching Hospital, Sukkur","27.701075, 68.872206"
"Ghurki Trust Teaching Hospital, Lahore","31.590006, 74.502765"
"Govt. Teaching Hospital Shahdra, Lahore","31.638130, 74.285117"
"Gulab Devi Hospital, Lahore","31.482928, 74.343921"
"HBS, Islamabad","33.644732, 73.172437"
"HH Sheikh Khalifa Bin Zayed/CMH, Muzzafarabad","34.372981, 73.466012"
"Hameed Latif Hospital, Lahore","31.512004, 74.328182"
"Hayatabad medical Complex, Peshawar","33.992259, 71.449632"
"Hearts International, Rawalpindi","33.589235, 73.059161"
"Holy Family Hospital, Rawalpindi","33.640753, 73.057435"
"Ibne Siena Hospital & Research Institute, Multan","30.221853, 71.565159"
"Idependent Medical College Hospital, Faisalabad","31.418226, 73.068660"
"Idrees Teaching Hospital, Sialkot","32.458267, 74.504335"
"Islamabad Medical Complex NESCOM, Islamabad","33.649182, 73.017169"
"Islamic International Railway Hospital, Rawalpindi","33.619527, 73.034192"
"Isra Medical University, Hyderabad","25.434554, 68.379920"
"Ittefaq Hospital, Lahore","31.475579, 74.337665"
"Jinnah Hospital, Lahore","31.484479, 74.297328"
"Jinnah International Hospital, Abbotabad","34.160547, 73.263042"
"Jinnah Postgraduate Medical Centre, Karachi","24.852523, 67.042839"
"KRL hospital, Islamabad","33.677616, 73.031790"
"Kalsoom International Hospital, Rawalpindi","33.718066, 73.072816"
"Karachi Adventist Hospital, Karachi","24.866065, 67.027587"
"Karachi Institute of Heart Diseases, Karachi","24.933515, 67.080342"
"Kharadar General hospital, Karachi","24.854026, 66.995118"
"Khayber Teaching Hospital, Peshawar","33.996495, 71.486017"
"Kidney Centre Postgraduate Training Institute, Karachi","24.850489, 67.043648"
"Kulsum International Hospital, Rawalpindi","33.717995, 73.072773"
